context_label,family,difficulty,runtime_variant,metric,prompt_variant,value
Nav. easy,navigation,easy,R0,planner_calls,P1,4.82
Nav. easy,navigation,easy,R0,planner_calls,P2,3.82
Nav. easy,navigation,easy,R0,tool_calls,P1,4.82
Nav. easy,navigation,easy,R0,tool_calls,P2,3.82
Nav. harder,navigation,harder,R0,planner_calls,P1,7.75
Nav. harder,navigation,harder,R0,planner_calls,P2,6.75
Nav. harder,navigation,harder,R0,tool_calls,P1,7.75
Nav. harder,navigation,harder,R0,tool_calls,P2,6.75
Manip. easy,manipulation,easy,R0,planner_calls,P1,10.0
Manip. easy,manipulation,easy,R0,planner_calls,P2,8.0
Manip. easy,manipulation,easy,R0,tool_calls,P1,10.0
Manip. easy,manipulation,easy,R0,tool_calls,P2,8.0
Manip. harder R0,manipulation,harder,R0,planner_calls,P1,11.67
Manip. harder R0,manipulation,harder,R0,planner_calls,P2,9.67
Manip. harder R0,manipulation,harder,R0,tool_calls,P1,11.67
Manip. harder R0,manipulation,harder,R0,tool_calls,P2,9.67
Manip. harder R1,manipulation,harder,R1,planner_calls,P1,11.67
Manip. harder R1,manipulation,harder,R1,planner_calls,P2,9.67
Manip. harder R1,manipulation,harder,R1,tool_calls,P1,11.67
Manip. harder R1,manipulation,harder,R1,tool_calls,P2,9.67
