task_family,cell,easy_success,harder_success,easy_planner_tool,harder_planner_tool,planner_delta,tool_delta
navigation,P0/R0,0/11 (0.0),0/4 (0.0),1.0/0.0,1.0/0.0,0.0,0.0
navigation,P0/R1,11/11 (1.0),4/4 (1.0),3.82/2.82,6.75/5.75,2.93,2.93
navigation,P1/R0,11/11 (1.0),4/4 (1.0),4.82/4.82,7.75/7.75,2.93,2.93
navigation,P1/R1,11/11 (1.0),4/4 (1.0),4.82/4.82,7.75/7.75,2.93,2.93
navigation,P2/R0,11/11 (1.0),4/4 (1.0),3.82/3.82,6.75/6.75,2.93,2.93
navigation,P2/R1,11/11 (1.0),4/4 (1.0),3.82/3.82,6.75/6.75,2.93,2.93
manipulation,P0/R0,0/3 (0.0),0/3 (0.0),1.0/0.0,1.0/0.0,0.0,0.0
manipulation,P0/R1,3/3 (1.0),3/3 (1.0),9.0/8.0,10.67/9.67,1.67,1.67
manipulation,P1/R0,3/3 (1.0),3/3 (1.0),10.0/10.0,11.67/11.67,1.67,1.67
manipulation,P1/R1,3/3 (1.0),3/3 (1.0),10.0/10.0,11.67/11.67,1.67,1.67
manipulation,P2/R0,3/3 (1.0),3/3 (1.0),8.0/8.0,9.67/9.67,1.67,1.67
manipulation,P2/R1,3/3 (1.0),3/3 (1.0),8.0/8.0,9.67/9.67,1.67,1.67
